"fit","x","Estimate","Q2.5","Q97.5"
"no group term",3.15858378378378,277.642487330683,193.674415724246,406.565441600227
"no group term",3.16883243243243,277.595958941632,193.609030941198,406.523051182898
"no group term",3.17908108108108,277.54178996192,193.551503376853,406.481291278631
"no group term",3.18932972972973,277.488398586857,193.502539889816,406.41946423292
"no group term",3.19957837837838,277.435771204508,193.454286127473,406.35245347767
"no group term",3.20982702702703,277.404465864166,193.400474478868,406.286381051919
"no group term",3.22007567567567,277.366501907381,193.320043144655,406.221230882745
"no group term",3.23032432432432,277.320383183872,193.264054108481,406.156987222476
"no group term",3.24057297297297,277.272204660484,193.228610467615,406.113995710572
"no group term",3.25082162162162,277.22040306295,193.193853512553,406.086090466951
"no group term",3.26107027027027,277.169325192415,193.159598636116,406.05859915117
"no group term",3.27131891891892,277.123558955495,193.125837041136,406.03151435118
"no group term",3.28156756756757,277.075693946839,193.09236472145,406.004828810296
"no group term",3.29181621621622,277.033052898315,193.050311675054,405.978535423465
"no group term",3.30206486486486,276.991011607054,193.008849863226,405.952627233642
"no group term",3.31231351351351,276.95198826397,192.967969177201,405.927097428256
"no group term",3.32256216216216,276.917900994216,192.927659711575,405.901939335781
"no group term",3.33281081081081,276.882660423204,192.887911759605,405.877146422388
"no group term",3.34305945945946,276.839948826222,192.848715808633,405.852712288694
"no group term",3.35330810810811,276.803429347116,192.81006253562,405.828630666593
"no group term",3.36355675675676,276.773610091147,192.771942802809,405.804895416174
"no group term",3.3738054054054,276.738787081716,192.734347653491,405.781500522721
"no group term",3.38405405405405,276.69676742001,192.697268307879,405.758440093786
"no group term",3.3943027027027,276.653431767109,192.660696159097,405.735708356346
"no group term",3.40455135135135,276.627211676218,192.624654970247,405.713299654033
"no group term",3.4148,276.601355132858,192.589243202246,405.685598654221
"no group term",3.42504864864865,276.573285424773,192.554311704441,405.656762241746
"no group term",3.4352972972973,276.545012232973,192.519852555199,405.628323905442
"no group term",3.44554594594595,276.514445352758,192.485857986635,405.600276986874
"no group term",3.45579459459459,276.491482976653,192.452320381178,405.572614958323
"no group term",3.46604324324324,276.461749362793,192.419232268233,405.545331419838
"no group term",3.47629189189189,276.432418305601,192.386586320918,405.518420096367
"no group term",3.48654054054054,276.40669868353,192.354375352888,405.491874834963
"no group term",3.49678918918919,276.386868155784,192.322592315238,405.465689602058
"no group term",3.50703783783784,276.35854585569,192.291230293479,405.439858480805
"no group term",3.51728648648649,276.328407338791,192.260358682329,405.414375668489
"no group term",3.52753513513513,276.29208974934,192.230000343502,405.389235474
"no group term",3.53778378378378,276.255802532002,192.200040780526,405.364432315372
"no group term",3.54803243243243,276.228943183501,192.170473622549,405.339561788123
"no group term",3.55828108108108,276.203958410772,192.141292618493,405.314866752137
"no group term",3.56852972972973,276.18473183615,192.112491634462,405.290499140658
"no group term",3.57877837837838,276.165289695132,192.09115855263,405.266453690317
"no group term",3.58902702702703,276.145450075004,192.074976504632,405.242725237092
"no group term",3.59927567567567,276.124443593889,192.059012379222,405.219308714155
"no group term",3.60952432432432,276.102022812961,192.042296222514,405.184739768368
